Independent,P-Value,Relationship,DepPos,Dependent,Hypothesis ID,Supported,Mediator/Moderator,IndPos,Relationship ID,MidPos,Type,Source ID
26018,.05,Positive Effect,"(300, -250)",26003,6894-2c,1,,"(-300, -179)",2187,,Regular,6894
26018,.05,Negative Effect,"(300, -179)",26001,6894-2c,1,,"(-300, -179)",2188,,Regular,6894
26039,,Positive Effect,"(300, 82)",26036,6895-1a,1,,"(300, 0)",2189,,Regular,6895
26039,,Positive Effect,"(300, 82)",26036,6895-1a,1,,"(300, 0)",2190,,Regular,6895
26040,.1,Positive Effect,"(300, 82)",26036,6895-1b,1,,"(300, 125)",2191,"(200, -350)",,6895
26037,.05,Positive Effect,"(300, 82)",26036,6895-2a,1,,"(300, -250)",2192,"(200, -350)",,6895
26037,.05,Positive Effect,"(300, 82)",26036,6895-2a,1,,"(300, -250)",2193,"(200, -350)",,6895
26038,,Positive Effect,"(300, 82)",26036,6895-2b,1,,"(300, -125)",2194,"(200, -350)",,6895
26041,.01,Positive Effect,"(300, -250)",26037,6895-3a,1,,"(300, -250)",2195,"(200, -350)",,6895
26042,.01,Positive Effect,"(300, -125)",26038,6895-3b,1,,"(300, -150)",2196,"(200, -350)",,6895
26041,.01,Positive Effect,"(300, 0)",26039,6895-4a,1,,"(300, -250)",2197,"(200, -350)",,6895
26042,.01,Positive Effect,"(300, 125)",26040,6895-4b,1,,"(300, -150)",2198,"(200, -350)",,6895
26043,.01,Positive Effect,"(300, -250)",26041,6895-5a,1,,"(-300, -150)",2199,"(200, -350)",,6895
26043,.01,Positive Effect,"(300, -150)",26042,6895-5b,1,,"(-300, -150)",2200,"(200, -350)",,6895
50606,.05,Positive Effect,"(-300, -140)",26048,6896-1,1,,"(-300, 34)",2201,,Regular,6896
