"cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"Low",0.7437,510.0,"City:Small","Southeast",19648.0,0.3558,480.0,1.0,31200.0,811.0,19872.0,1.57004830917874,48246.31497,"Professional"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.3271,20800.0,1035.0,10824.0,1.92165558019217,23454.31423,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",12000.0,0.3019,523.5020210185934,0.4444,26200.0,175.0,17141.0,1.52849892071641,44561.78276,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Distant","Southeast",3500.0,0.4732235186873289,523.5020210185934,0.4205,18500.0,1024.0,8527.0,2.16957898440249,18997.98027,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Small","Southeast",15458.0,0.4732235186873289,523.5020210185934,0.951,22000.0,3560.0,13544.0,1.624335499114,21117.75809,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southeast",12125.0,0.4732235186873289,523.5020210185934,0.4087,24400.0,1368.0,12636.0,1.93099081987971,24668.1001,"Specialized"
"High",0.7218,570.0,"Town:Distant","Southeast",25215.0,0.6325,560.0,0.9927,35500.0,4228.0,23751.0,1.49467390846701,80010.02054,"Comprehensive"
"Low",0.5889,485.0,"Town:Distant","Southeast",21097.0,0.3076,480.0,0.9942,32300.0,3365.0,17175.0,1.8806404657933,45039.89167,"Comprehensive"
"High",0.825,615.0,"City:Small","Southeast",21000.0,0.7286,630.0,0.7842,36100.0,1413.0,44854.0,0.804833459669149,95063.73487,"Comprehensive"
"High",0.7251,565.0,"Town:Distant","Southeast",21500.0,0.6565,600.0,0.9398,43100.0,1699.0,30606.0,1.40822061033784,62945.72563,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Suburb:Large","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.3077,20000.0,1452.0,10126.0,1.97511356903022,17012.51576,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Fringe","Southeast",7000.0,0.4732235186873289,523.5020210185934,0.5588,22700.0,1574.0,12672.0,1.79135101010101,20040.60879,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Town:Remote","Southeast",12750.0,0.4732235186873289,523.5020210185934,0.3723,24000.0,2040.0,11292.0,2.12539851222104,24226.62591,"Specialized"
"High",0.6375,555.0,"Town:Distant","Southeast",18850.0,0.6274,520.0,0.7483,34600.0,1570.0,29140.0,1.18737131091283,76294.32533,"Comprehensive"
"Low",0.6571039413845394,531.1777777777778,"Town:Fringe","Southeast",7875.0,0.4732235186873289,523.5020210185934,0.3704,24700.0,800.0,11549.0,2.13871330851156,27191.49768,"Specialized"
"Low",0.6571039413845394,531.1777777777778,"Rural:Remote","Southeast",18765.904755244756,0.4732235186873289,523.5020210185934,0.3246,20400.0,1447.0,12363.0,1.65008493084203,19323.14462,"Specialized"
"High",0.8515,523.0,"Town:Remote","Southeast",24250.0,0.4643,485.0,1.0,33300.0,602.0,31596.0,1.05393087732624,58459.51263,"Comprehensive"
