"","cost_level","ADM_RATE","SATMTMID","LOCALE","region","GRAD_DEBT_MDN","C150_4","SATVRMID","PFTFAC","md_earn_wne_p8","UGDS","COSTT4_A","ROI","AVG_INC","Major_Cluster"
"23","Low",NA,NA,"City:Midsize","Southeast",NA,NA,NA,0.3091,19600,1087,7718,2.53951800984711,14715.34098,"Specialized"
"24","Low",0.8365,470,"City:Small","Southeast",22000,0.3152,465,0.6632,31300,7810,17718,1.76656507506491,46283.82973,"Comprehensive"
"25","Low",NA,NA,"Town:Distant","Southeast",NA,NA,NA,0.4235,22400,1190,9487,2.36112575102772,19556.21191,"Specialized"
"26","Low",NA,NA,"City:Midsize","Southeast",8250,NA,NA,0.2931,27100,8444,12999,2.08477575198092,31612.35174,"Specialized"
"27","Low",NA,NA,"Rural:Fringe","Southeast",8750,NA,NA,0.2651,25600,11134,9672,2.64681555004136,30475.94249,"Specialized"
"28","High",0.7435,460,"Rural:Remote","Southeast",17458.5,0.3797,495,0.6429,25300,341,26090,0.96972019931008,48542.3468,"Comprehensive"
"29","Low",NA,NA,"City:Midsize","Southeast",NA,NA,NA,0.377,22000,4076,10966,2.0062009848623,16985.2897,"Specialized"
"30","Low",0.6756,598,"Rural:Remote","Southeast",21121,0.2978,481,0.9643,32200,2066,16119,1.99764253365593,36146.97244,"Comprehensive"
"31","Low",NA,NA,"Rural:Fringe","Southeast",NA,NA,NA,0.4583,23700,1581,10270,2.30769230769231,19505.14718,"Specialized"
"32","Low",0.6023,555,"Rural:Remote","Southeast",7680,NA,530,0.7917,37900,406,17620,2.15096481271283,61367.59494,"Specialized"
"33","Low",NA,NA,"Suburb:Large","Southeast",30429.5,0.1954,NA,0.7338,21700,1630,19126,1.13458119836871,26908.61912,"Comprehensive"
"34","High",0.8065,505,"Rural:Fringe","Southeast",24875,0.428,490,0.503,32900,1534,27248,1.20742806811509,50884.5546,"Comprehensive"
"35","Low",0.757,545,"Suburb:Large","Southeast",21500,0.4342,NA,0.5841,30400,2525,17670,1.72043010752688,56984.38482,"Comprehensive"
"36","Low",NA,NA,"City:Small","Southeast",11500,NA,NA,0.3475,22900,3473,10476,2.18594883543337,26562.55016,"Specialized"
"37","Low",0.8764,480,"City:Small","Southeast",19505,0.2739,475,0.9748,33000,5649,12977,2.54296062264006,50941.57689,"Comprehensive"
"38","Low",NA,NA,"Rural:Distant","Southeast",5200,NA,NA,0.2555,25000,2888,7120,3.51123595505618,24246.98179,"Specialized"
"39","High",0.4355,437,"City:Midsize","Southeast",25500,0.3498,465,1,27300,1930,32985,0.827648931332424,56346.89563,"Comprehensive"
"40","Low",NA,NA,"Rural:Fringe","Southeast",NA,NA,NA,0.4361,19500,1342,9421,2.06984396560875,16709.59487,"Specialized"
"41","Low",NA,NA,"Rural:Fringe","Southeast",NA,NA,NA,0.7297,18200,609,7391,2.46245433635503,14949.83664,"Specialized"
